child,child_fitness,child_xoverparent1,parent_1_fitness,parent1_co_points,parent2,parent2_fitness,parent2_co_points,mean_parent_co_points,selection_differential_co_points,mean_parents_fitness,selection_differential_fitness
2_9_1_1_1_5,0.005773006288917394,1,1_1_ _ _ _ ,0.006017174644778166,2,1_5_ _ _ _ ,0.007867953150486759,2,2.0,-2.220446049250313e-16,0.006942563897632462,0.0036724065844173925
2_3_1_0_1_8,0.0077893015513778195,4,1_0_ _ _ _ ,0.04403370919291464,2,1_8_ _ _ _ ,0.00779193427946756,2,2.0,-2.220446049250313e-16,0.0259128217361911,-0.015297851254141246
2_5_1_2_1_5,0.006832311867209808,3,1_2_ _ _ _ ,0.007712661682451433,2,1_5_ _ _ _ ,0.007867953150486759,2,2.0,-2.220446049250313e-16,0.007790307416469096,0.0028246630655807585
2_8_1_6_1_0,0.012122865107920126,5,1_6_ _ _ _ ,0.009771530755327367,2,1_0_ _ _ _ ,0.04403370919291464,2,2.0,-2.220446049250313e-16,0.026902619974121002,-0.01628764949207115
2_2_1_5_1_6,0.0019514703018035037,2,1_5_ _ _ _ ,0.007867953150486759,2,1_6_ _ _ _ ,0.009771530755327367,2,2.0,-2.220446049250313e-16,0.008819741952907063,0.0017952285291427915
2_7_1_2_1_8,0.004839168376412557,5,1_2_ _ _ _ ,0.007712661682451433,2,1_8_ _ _ _ ,0.00779193427946756,2,2.0,-2.220446049250313e-16,0.007752297980959496,0.0028626725010903586
2_1_1_4_1_0,0.007303711811526063,4,1_4_ _ _ _ ,0.008360301052476846,2,1_0_ _ _ _ ,0.04403370919291464,2,2.0,-2.220446049250313e-16,0.026197005122695745,-0.01558203464064589
2_0_1_0_1_6,0.004410487184971615,2,1_0_ _ _ _ ,0.04403370919291464,2,1_6_ _ _ _ ,0.009771530755327367,2,2.0,-2.220446049250313e-16,0.026902619974121002,-0.01628764949207115
2_4_1_4_1_6,0.008808427603364463,3,1_4_ _ _ _ ,0.008360301052476846,2,1_6_ _ _ _ ,0.009771530755327367,2,2.0,-2.220446049250313e-16,0.009065915903902107,0.0015490545781477478
2_6_1_4_1_9,0.004014666572665496,3,1_4_ _ _ _ ,0.008360301052476846,2,1_9_ _ _ _ ,0.0072015309076608885,2,2.0,-2.220446049250313e-16,0.0077809159800688674,0.002834054501980987
3_4_2_8_2_3,0.011322925942818014,7,2_8_1_6_1_0,0.012122865107920126,5,2_3_1_0_1_8,0.0077893015513778195,4,4.5,-1.3000000000000003,0.009956083329648972,-0.0035715416630320877
3_0_2_8_2_4,0.009534634806112925,6,2_8_1_6_1_0,0.012122865107920126,5,2_4_1_4_1_6,0.008808427603364463,3,4.0,-0.8000000000000003,0.010465646355642295,-0.004081104689025411
