1_0_ _ _ _ ,4,3,2,1.4285714285714286,3,6,3,2
1_1_ _ _ _ ,5,2,1,0.5714285714285714,1,1,0,3
1_2_ _ _ _ ,5,2,2,0.8571428571428571,4,4,0,2
1_3_ _ _ _ ,4,3,1,0.8571428571428571,1,2,1,3
1_4_ _ _ _ ,5,2,1,0.5714285714285714,1,1,0,3
1_5_ _ _ _ ,5,2,2,0.8571428571428571,2,2,0,2
1_6_ _ _ _ ,5,2,1,0.8571428571428571,3,3,0,3
1_7_ _ _ _ ,5,2,1,0.8571428571428571,2,2,0,3
1_8_ _ _ _ ,6,1,1,0.5714285714285714,2,2,0,2
1_9_ _ _ _ ,4,3,2,1.4285714285714286,3,3,0,2
ID,num empty threads in self,num nonempty threads in self,total number of sensor/motor threads in self,avg. length of thread in self,total number IR connections in self,total number of sensor connections in self,total number photosensor connections in self,total number of motor connections in self,num empty threads in parent1,num nonempty threads in parent1,total number of sensor/motor threads in parent1,avg. length of thread in parent1,total number IR connections in parent1,total number of sensor connections in parent1,total number photosensor connections in parent1,total number of motor connections in parent1,num empty threads in parent2,num nonempty threads in parent2,total number of sensor/motor threads in parent2,avg. length of thread in parent2,total number IR connections in parent2,total number of sensor connections in parent2,total number photosensor connections in parent2,total number of motor connections in parent2
2_0_1_3_1_0,3,4,2,1.1428571428571428,1,3,2,4,4,3,1,0.8571428571428571,1,2,1,3,4,3,2,1.4285714285714286,3,6,3,2
2_1_1_0_1_6,4,3,1,0.8571428571428571,2,3,1,3,4,3,2,1.4285714285714286,3,6,3,2,5,2,1,0.8571428571428571,3,3,0,3
2_2_1_3_1_5,3,4,2,1.1428571428571428,2,3,1,4,4,3,1,0.8571428571428571,1,2,1,3,5,2,2,0.8571428571428571,2,2,0,2
2_3_1_0_1_3,5,2,1,0.5714285714285714,0,1,1,3,4,3,2,1.4285714285714286,3,6,3,2,4,3,1,0.8571428571428571,1,2,1,3
2_4_1_6_1_9,4,3,0,0.8571428571428571,2,2,0,2,5,2,1,0.8571428571428571,3,3,0,3,4,3,2,1.4285714285714286,3,3,0,2
2_5_1_4_1_5,6,1,0,0.2857142857142857,1,1,0,0,5,2,1,0.5714285714285714,1,1,0,3,5,2,2,0.8571428571428571,2,2,0,2
2_6_1_9_1_1,7,0,0,0.0,0,0,0,0,4,3,2,1.4285714285714286,3,3,0,2,5,2,1,0.5714285714285714,1,1,0,3
2_7_1_5_1_2,6,1,1,0.2857142857142857,1,1,0,1,5,2,2,0.8571428571428571,2,2,0,2,5,2,2,0.8571428571428571,4,4,0,2
2_8_1_3_1_6,4,3,1,0.8571428571428571,3,3,0,3,4,3,1,0.8571428571428571,1,2,1,3,5,2,1,0.8571428571428571,3,3,0,3
2_9_1_0_1_4,5,2,1,0.5714285714285714,1,1,0,3,4,3,2,1.4285714285714286,3,6,3,2,5,2,1,0.5714285714285714,1,1,0,3
3_0_2_1_2_3,6,1,0,0.2857142857142857,0,0,0,2,4,3,1,0.8571428571428571,2,3,1,3,5,2,1,0.5714285714285714,0,1,1,3
3_1_2_1_2_6,7,0,0,0.0,0,0,0,0,4,3,1,0.8571428571428571,2,3,1,3,7,0,0,0.0,0,0,0,0
3_2_2_3_2_5,6,1,1,0.2857142857142857,1,1,0,1,5,2,1,0.5714285714285714,0,1,1,3,6,1,0,0.2857142857142857,1,1,0,0
3_3_2_6_2_5,7,0,0,0.0,0,0,0,0,7,0,0,0.0,0,0,0,0,6,1,0,0.2857142857142857,1,1,0,0
3_4_2_4_2_1,5,2,0,0.5714285714285714,2,2,0,2,4,3,0,0.8571428571428571,2,2,0,2,4,3,1,0.8571428571428571,2,3,1,3
